run,iteration,error
0,0,0.315981
0,1,0.129314
0,2,0.158261
0,3,0.141541
0,4,0.0869259
0,5,0.0470466
0,6,0.0298596
0,7,0.0198075
0,8,0.01497
0,9,0.0112811
0,10,0.0104444
0,11,0.0103551
0,12,0.0102962
0,13,0.0102702
0,14,0.0102786
0,15,0.0103218
0,16,0.0103982
0,17,0.0110447
0,18,0.0119087
0,19,0.0129073
0,20,0.0140398
0,21,0.0152924
0,22,0.0166264
0,23,0.0179641
0,24,0.0191767
0,25,0.0200851
0,26,0.0204904
0,27,0.0202359
0,28,0.0192754
0,29,0.0176994
0,30,0.0156977
0,31,0.0158243
0,32,0.0158411
0,33,0.0155422
0,34,0.0149586
0,35,0.0156246
0,36,0.016399
0,37,0.0167556
0,38,0.0166941
0,39,0.0162638
0,40,0.0155416
0,41,0.014612
0,42,0.0135536
0,43,0.0124327
0,44,0.0113013
0,45,0.0101977
0,46,0.00914823
0,47,0.0081692
0,48,0.00726948
0,49,0.00645223
0,50,0.00571662
0,51,0.00505917
0,52,0.00447477
0,53,0.00395744
0,54,0.00363904
0,55,0.00334161
0,56,0.00306216
0,57,0.00280129
0,58,0.00255907
0,59,0.00233513
0,60,0.00212885
0,61,0.00193938
0,62,0.00176578
0,63,0.00160703
0,64,0.00146209
0,65,0.00132993
0,66,0.00120954
0,67,0.00109996
0,68,0.00100029
0,69,0.00090966
0,70,0.000827281
0,71,0.000752415
0,72,0.000684383
0,73,0.000622561
0,74,0.000566379
0,75,0.000515317
0,76,0.000468901
0,77,0.000426699
0,78,0.000388321
0,79,0.00035341
0,80,0.000321646
0,81,0.000292735
0,82,0.000266416
0,83,0.000242447
0,84,0.000220612
0,85,0.000200716
0,86,0.000182581
0,87,0.000166046
0,88,0.000150965
0,89,0.000137207
0,90,0.000124652
0,91,0.000113192
0,92,0.000102728
0,93,9.31713e-05
0,94,8.44412e-05
0,95,7.64642e-05
0,96,6.91736e-05
0,97,6.25088e-05
0,98,5.64148e-05
0,99,5.08415e-05
0,100,4.57433e-05
0,101,4.1079e-05
0,102,3.68107e-05
0,103,3.29041e-05
0,104,2.9328e-05
0,105,2.60539e-05
0,106,2.30557e-05
0,107,2.03099e-05
0,108,1.77948e-05
0,109,1.54907e-05
0,110,1.33797e-05
0,111,1.14453e-05
0,112,9.67243e-06
0,113,8.04754e-06
0,114,6.55807e-06
0,115,5.19258e-06
0,116,3.94064e-06
0,117,2.79268e-06
0,118,1.73997e-06
0,119,7.74517e-07
0,120,1.10982e-07
1,0,0.307523
1,1,0.146176
1,2,0.0738412
1,3,0.052335
1,4,0.0509588
1,5,0.0458327
1,6,0.0390531
1,7,0.0322036
1,8,0.0260397
1,9,0.020821
1,10,0.0165593
1,11,0.0131562
1,12,0.0104755
1,13,0.00838101
1,14,0.00746506
1,15,0.00702786
1,16,0.00658223
1,17,0.00613885
1,18,0.00570569
1,19,0.00528849
1,20,0.00489125
1,21,0.00451662
1,22,0.00416613
1,23,0.00384054
1,24,0.00353997
1,25,0.00326414
1,26,0.00301243
1,27,0.00278403
1,28,0.00257801
1,29,0.00239333
1,30,0.00222894
1,31,0.00221871
1,32,0.00222527
1,33,0.00226015
1,34,0.00231341
1,35,0.00236407
1,36,0.00241039
1,37,0.00245071
1,38,0.00248362
1,39,0.00250792
1,40,0.00252269
1,41,0.00252732
1,42,0.00252151
1,43,0.00250526
1,44,0.00250004
1,45,0.00250158
1,46,0.00249656
1,47,0.00248494
1,48,0.00246685
