size,multiplicity,U,stone_wales,magnetization,energy,homo_lumo_gap
2,1,1.6,0,3.85744,-28.513,-2.19553
4,1,1.6,0,8.38033,-89.1682,-1.3478
6,1,1.6,0,13.696,-183.199,-1.11464
2,1,1.6,1,3.22185,-26.9613,-1.48049
4,1,1.6,1,7.70663,-87.821,-1.11093
6,1,1.6,1,13.0697,-181.82,-0.884836

2,3,1.6,0,2.66697,-28.181,-1.4459
4,3,1.6,0,6.97783,-88.3971,-0.753327
6,3,1.6,0,12.4282,-182.462,-0.8676
2,3,1.6,1,2.48821,-26.7991,-0.753518
4,3,1.6,1,6.18957,-87.049,-0.628394
6,3,1.6,1,11.7954,-181.09,-0.819569

2,5,1.6,0,4.66105,-27.7725,0.990242
4,5,1.6,0,6.40717,-88.6737,-0.750002
6,5,1.6,0,11.5805,-182.289,-0.485091
2,5,1.6,1,4.72197,-25.9663,1.41752
4,5,1.6,1,6.59092,-87.5685,-0.58866
6,5,1.6,1,9.5771,-180.608,-0.479492
