run,iteration,error
0,0,32.9009
0,1,13.9
0,2,7.745
0,3,4.87639
0,4,3.52336
0,5,2.72843
0,6,2.27073
0,7,1.93009
0,8,1.61212
0,9,1.12468
0,10,0.874254
0,11,0.663149
0,12,0.510674
0,13,0.400745
0,14,0.317541
0,15,0.254667
0,16,0.207321
0,17,0.170614
0,18,0.141646
0,19,0.118302
0,20,0.0992747
0,21,0.0838382
0,22,0.0712844
0,23,0.0611461
0,24,0.0528097
0,25,0.045872
0,26,0.0400856
0,27,0.0352316
0,28,0.0313712
0,29,0.0281278
0,30,0.0253171
0,31,0.0228812
0,32,0.0208449
0,33,0.019102
0,34,0.0175392
0,35,0.0161678
0,36,0.0149415
0,37,0.0138778
0,38,0.0129278
0,39,0.0120547
0,40,0.0112626
0,41,0.0105393
0,42,0.00986215
0,43,0.00922548
0,44,0.00862749
0,45,0.00806631
0,46,0.00754006
0,47,0.00704688
0,48,0.00658496
0,49,0.00615371
0,50,0.00575
0,51,0.00537275
0,52,0.00501973
0,53,0.0046895
0,54,0.00438066
0,55,0.0040919
0,56,0.00382197
0,57,0.00356969
0,58,0.00333393
0,59,0.00311364
0,60,0.00290784
0,61,0.00271559
0,62,0.00253601
0,63,0.00236828
0,64,0.00221162
0,65,0.00206532
0,66,0.00192869
0,67,0.0018011
0,68,0.00168195
0,69,0.00157069
0,70,0.0014668
0,71,0.00136979
0,72,0.0012792
0,73,0.00119462
0,74,0.00111563
0,75,0.00104188
0,76,0.000973013
0,77,0.000908706
0,78,0.000848658
0,79,0.000792586
0,80,0.000740226
0,81,0.000691332
0,82,0.000645674
0,83,0.000603038
0,84,0.000563222
0,85,0.00052604
0,86,0.000491318
0,87,0.000458892
0,88,0.000428609
0,89,0.000400329
0,90,0.000373918
0,91,0.000349252
0,92,0.000326216
0,93,0.000304701
0,94,0.000284608
0,95,0.000265841
0,96,0.000248314
1,0,34.1072
1,1,14.6841
1,2,8.34803
1,3,5.56461
1,4,4.06631
1,5,3.1857
1,6,2.6349
1,7,2.27866
1,8,2.05129
1,9,1.90529
1,10,1.8109
1,11,1.74686
1,12,1.69925
1,13,1.6608
1,14,1.62557
1,15,1.59094
1,16,1.55257
1,17,1.50854
1,18,1.4411
1,19,1.359
1,20,1.2873
1,21,1.14168
1,22,0.964608
1,23,0.76202
1,24,0.622588
1,25,0.706902
1,26,0.713714
1,27,0.661934
1,28,0.58766
1,29,0.508801
1,30,0.434412
1,31,0.368115
1,32,0.310703
1,33,0.261909
1,34,0.221041
1,35,0.186776
1,36,0.15805
1,37,0.134046
1,38,0.113937
1,39,0.0970709
1,40,0.0829265
1,41,0.0710312
1,42,0.0609959
1,43,0.0525098
1,44,0.04533
1,45,0.0392296
1,46,0.0340314
1,47,0.0296243
1,48,0.0258573
1,49,0.0226209
1,50,0.0198348
1,51,0.0174319
1,52,0.0153488
1,53,0.0135388
1,54,0.0119706
1,55,0.0106192
1,56,0.00944649
1,57,0.00841507
1,58,0.00750546
1,59,0.00670196
1,60,0.00599161
1,61,0.00536223
1,62,0.00480373
1,63,0.00430934
1,64,0.00387027
1,65,0.00348049
1,66,0.00313407
1,67,0.00283059
1,68,0.00255978
1,69,0.00231645
1,70,0.00209771
1,71,0.00190072
1,72,0.0017229
1,73,0.00156421
1,74,0.0014214
1,75,0.00129234
1,76,0.00117545
1,77,0.00106942
1,78,0.000972965
1,79,0.000885973
1,80,0.000807454
1,81,0.000735967
1,82,0.000670837
1,83,0.000611392
1,84,0.000557183
1,85,0.000507729
1,86,0.000462725
1,87,0.00042171
1,88,0.000384314
1,89,0.000350203
1,90,0.000319095
1,91,0.00029072
1,92,0.000264842
1,93,0.00024125
1,94,0.000219746
1,95,0.000200142
1,96,0.00018228
1,97,0.000166002
1,98,0.000151175
1,99,0.000137664
2,0,31.8486
2,1,13.8036
2,2,7.32985
2,3,4.42198
2,4,2.85339
2,5,1.93788
2,6,1.37199
2,7,1.01043
2,8,0.771263
2,9,0.609126
2,10,0.499546
2,11,0.41993
2,12,0.357143
2,13,0.306917
2,14,0.2667
2,15,0.233782
2,16,0.205549
2,17,0.180427
2,18,0.158152
2,19,0.138456
2,20,0.121188
2,21,0.105985
2,22,0.0927669
2,23,0.0813672
2,24,0.0714562
2,25,0.0628543
2,26,0.0553551
2,27,0.0488435
2,28,0.0432153
2,29,0.0383263
2,30,0.034072
2,31,0.0303702
2,32,0.0271485
2,33,0.0243373
2,34,0.0218901
2,35,0.0197477
2,36,0.0178696
2,37,0.0162207
2,38,0.0147707
2,39,0.0134951
2,40,0.0123746
2,41,0.0113857
2,42,0.0105133
2,43,0.00974291
2,44,0.00905656
2,45,0.00844369
2,46,0.00794045
2,47,0.00749414
2,48,0.00709874
2,49,0.00674626
2,50,0.00642547
2,51,0.00613263
2,52,0.00586857
2,53,0.00562754
2,54,0.00540586
2,55,0.00520065
2,56,0.0050101
2,57,0.00483286
2,58,0.00466739
2,59,0.00453431
2,60,0.00441341
2,61,0.00429772
2,62,0.00419838
2,63,0.00410185
2,64,0.00400866
2,65,0.00391906
2,66,0.0038316
2,67,0.00374718
2,68,0.00366546
2,69,0.00358566
2,70,0.00350764
2,71,0.00343135
2,72,0.00335678
2,73,0.00328413
2,74,0.00321337
2,75,0.0031443
2,76,0.00307681
2,77,0.00301083
2,78,0.00294633
2,79,0.00288327
2,80,0.00282162
2,81,0.00276135
2,82,0.00270243
2,83,0.00264483
2,84,0.00258851
2,85,0.00253345
2,86,0.00247961
2,87,0.00242697
2,88,0.00237549
2,89,0.00232516
2,90,0.00227594
2,91,0.0022278
2,92,0.00218072
2,93,0.00213468
2,94,0.00208965
2,95,0.0020456
2,96,0.00200252
2,97,0.00196037
2,98,0.00191915
2,99,0.00187882
2,100,0.00183936
2,101,0.00180076
2,102,0.00176302
2,103,0.00172613
2,104,0.00169002
2,105,0.00165468
2,106,0.00162011
2,107,0.00158627
2,108,0.00155315
2,109,0.00152074
2,110,0.00148902
2,111,0.00145797
2,112,0.00142759
2,113,0.00139784
2,114,0.00136873
2,115,0.00134024
2,116,0.00131234
2,117,0.00128504
2,118,0.00125832
2,119,0.00123215
2,120,0.00120654
2,121,0.00118147
2,122,0.00115693
2,123,0.0011329
2,124,0.00110938
2,125,0.00108635
2,126,0.00106381
2,127,0.00104173
2,128,0.00102013
2,129,0.00099897
2,130,0.000978259
2,131,0.000957982
2,132,0.000938129
2,133,0.000918692
2,134,0.00089966
2,135,0.000881026
2,136,0.000862781
2,137,0.000844916
2,138,0.000827425
2,139,0.000810298
2,140,0.000793528
2,141,0.000777107
2,142,0.000761029
2,143,0.000745285
2,144,0.00072987
2,145,0.000714774
2,146,0.000699993
2,147,0.00068552
2,148,0.000671347
2,149,0.000657469
2,150,0.000643879
2,151,0.000630572
2,152,0.000617541
2,153,0.000604781
2,154,0.000592286
2,155,0.00058005
2,156,0.000568068
2,157,0.000556334
2,158,0.000544844
2,159,0.000533592
2,160,0.000522574
2,161,0.000511784
2,162,0.000501218
2,163,0.00049087
2,164,0.000480737
2,165,0.000470814
2,166,0.000461097
2,167,0.000451581
2,168,0.000442262
2,169,0.000433135
2,170,0.000424198
2,171,0.000415446
2,172,0.000406875
2,173,0.000398481
2,174,0.000390261
2,175,0.000382211
2,176,0.000374327
2,177,0.000366607
2,178,0.000359046
2,179,0.000351642
2,180,0.00034439
2,181,0.000337289
2,182,0.000330334
2,183,0.000323523
2,184,0.000316853
2,185,0.000310321
2,186,0.000303923
2,187,0.000297658
2,188,0.000291522
2,189,0.000285513
2,190,0.000279628
2,191,0.000273865
2,192,0.000268221
2,193,0.000262693
2,194,0.000257279
2,195,0.000251977
2,196,0.000246785
2,197,0.0002417
2,198,0.000236719
2,199,0.000231842
2,200,0.000227065
2,201,0.000222387
2,202,0.000217805
2,203,0.000213318
2,204,0.000208924
2,205,0.00020462
2,206,0.000200404
3,0,32.2726
3,1,14.125
3,2,7.53292
3,3,4.631
3,4,3.0616
3,5,2.07286
3,6,1.42415
3,7,1.00784
3,8,0.726233
3,9,0.549328
3,10,0.436635
3,11,0.369663
3,12,0.333361
3,13,0.318778
3,14,0.321422
3,15,0.335129
3,16,0.35683
3,17,0.386019
3,18,0.416791
3,19,0.444904
3,20,0.463791
3,21,0.469766
3,22,0.461286
3,23,0.440197
3,24,0.41005
3,25,0.374727
3,26,0.337296
3,27,0.299848
3,28,0.264073
3,29,0.230918
3,30,0.200714
3,31,0.173633
3,32,0.149718
3,33,0.128778
3,34,0.110501
3,35,0.0946091
3,36,0.0808605
3,37,0.0690127
3,38,0.0588345
3,39,0.0501123
3,40,0.0426523
3,41,0.0362819
3,42,0.0308488
3,43,0.0262196
3,44,0.0222786
3,45,0.0189257
3,46,0.0160745
3,47,0.013651
3,48,0.0115916
3,49,0.0098422
3,50,0.00835634
3,51,0.00709453
3,52,0.00602312
3,53,0.00511344
3,54,0.00434114
3,55,0.0036855
3,56,0.00312891
3,57,0.00265642
3,58,0.00225533
3,59,0.00191484
3,60,0.00162578
3,61,0.00138038
3,62,0.00117205
3,63,0.00099518
3,64,0.000845019
3,65,0.000717531
3,66,0.000609289
3,67,0.000517386
3,68,0.000439354
3,69,0.000373098
3,70,0.000316839
3,71,0.000269068
4,0,34.9809
4,1,14.2056
4,2,7.36935
4,3,4.34404
4,4,2.78887
4,5,1.8733
4,6,1.30498
4,7,0.944171
4,8,0.707577
4,9,0.546774
4,10,0.442153
4,11,0.373062
4,12,0.321851
4,13,0.282703
4,14,0.253774
4,15,0.23268
4,16,0.217872
4,17,0.207717
4,18,0.20205
4,19,0.199546
4,20,0.199029
4,21,0.200916
4,22,0.205
4,23,0.209382
4,24,0.213153
4,25,0.217595
4,26,0.222351
4,27,0.225315
4,28,0.22628
4,29,0.226565
4,30,0.224764
4,31,0.220632
4,32,0.214378
4,33,0.206194
4,34,0.19654
4,35,0.186937
4,36,0.176663
4,37,0.166032
4,38,0.155108
4,39,0.14424
4,40,0.133701
4,41,0.123523
4,42,0.113801
4,43,0.104683
4,44,0.0966422
4,45,0.0891479
4,46,0.0821383
4,47,0.0756061
4,48,0.0695649
4,49,0.0639749
4,50,0.0588209
4,51,0.0540802
4,52,0.0497383
4,53,0.0457614
4,54,0.0421213
4,55,0.0387801
4,56,0.0357224
4,57,0.0329213
4,58,0.0303518
4,59,0.0279946
4,60,0.0258319
4,61,0.0238472
4,62,0.0220251
4,63,0.0203518
4,64,0.0188225
4,65,0.0174183
4,66,0.0161256
4,67,0.0149349
4,68,0.0138376
4,69,0.0128259
4,70,0.0118927
4,71,0.0110315
4,72,0.0102362
4,73,0.00950152
4,74,0.00882246
4,75,0.00819453
4,76,0.00761359
4,77,0.00707588
4,78,0.00657797
4,79,0.00611671
4,80,0.00568923
4,81,0.0052929
4,82,0.0049253
4,83,0.00458423
4,84,0.00426766
4,85,0.00397373
4,86,0.00370073
4,87,0.0034471
4,88,0.00321138
4,89,0.00299226
4,90,0.0027885
4,91,0.00259899
4,92,0.00242268
4,93,0.00225862
4,94,0.00210593
4,95,0.00196377
4,96,0.00183141
4,97,0.00170814
4,98,0.00159332
4,99,0.00148635
4,100,0.00138669
4,101,0.0012938
4,102,0.00120723
4,103,0.00112653
4,104,0.0010513
4,105,0.000981153
4,106,0.00091574
4,107,0.000854736
4,108,0.000797839
4,109,0.000744774
4,110,0.00069527
4,111,0.000649085
4,112,0.000605992
4,113,0.000565782
4,114,0.000528259
4,115,0.000493242
4,116,0.00046056
4,117,0.000430057
4,118,0.000401585
4,119,0.000375008
4,120,0.000350199
4,121,0.000327038
4,122,0.000305416
4,123,0.00028523
4,124,0.000266382
4,125,0.000248785
5,0,34.9246
5,1,14.4317
5,2,7.68124
5,3,4.66194
5,4,3.02588
5,5,2.06517
5,6,1.46464
5,7,1.06852
5,8,0.796879
5,9,0.609812
5,10,0.476302
5,11,0.377569
5,12,0.303829
5,13,0.247613
5,14,0.206202
5,15,0.172994
5,16,0.14566
5,17,0.123179
5,18,0.104626
5,19,0.0892078
5,20,0.0764878
5,21,0.0658351
5,22,0.0567957
5,23,0.0490952
5,24,0.0425087
5,25,0.0368888
5,26,0.0320836
5,27,0.0279533
5,28,0.0243895
5,29,0.0213161
5,30,0.018661
5,31,0.0163702
5,32,0.0143771
5,33,0.0126414
5,34,0.0111352
5,35,0.00981902
5,36,0.00866744
5,37,0.00766772
5,38,0.00679263
5,39,0.00602338
5,40,0.00534669
5,41,0.00475167
5,42,0.00422699
5,43,0.00376439
5,44,0.00335622
5,45,0.00299511
5,46,0.00267523
5,47,0.00239208
5,48,0.00214071
5,49,0.00191778
5,50,0.00172277
5,51,0.00154913
5,52,0.00139378
5,53,0.00125469
5,54,0.00113008
5,55,0.00101858
5,56,0.000919613
5,57,0.000831394
5,58,0.000752323
5,59,0.000681296
5,60,0.000617224
5,61,0.000559294
5,62,0.000507463
5,63,0.00046115
5,64,0.00041912
5,65,0.000380986
5,66,0.000346387
5,67,0.000314955
5,68,0.000286385
5,69,0.000260409
5,70,0.000236805
5,71,0.000215342
5,72,0.000195824
5,73,0.000178077
5,74,0.000161941
5,75,0.000147273
6,0,36.0333
6,1,14.5455
6,2,7.22214
6,3,4.25766
6,4,2.94925
6,5,2.19173
6,6,1.62893
