value0, value1, value2, value3, value4, value5, value6, value7
-2.7, -2.7, -2.7, -6.50521e-18, 3.60128e-63, 2.7, 2.7, 2.7
-2.76094, -2.702, -2.64106, -2.62702e-06, 2.62702e-06, 2.64106, 2.702, 2.76094
-2.82369, -2.70797, -2.58433, -4.18871e-05, 4.18871e-05, 2.58433, 2.70797, 2.82369
-2.88804, -2.71788, -2.53005, -0.00021083, 0.00021083, 2.53005, 2.71788, 2.88804
-2.95384, -2.73165, -2.47847, -0.000660932, 0.000660932, 2.47847, 2.73165, 2.95384
-3.02092, -2.74917, -2.42984, -0.00159672, 0.00159672, 2.42984, 2.74917, 3.02092
-3.08915, -2.77031, -2.38443, -0.00326839, 0.00326839, 2.38443, 2.77031, 3.08915
-3.15838, -2.79494, -2.34252, -0.00596243, 0.00596243, 2.34252, 2.79494, 3.15838
-3.22851, -2.82289, -2.30438, -0.00999057, 0.00999057, 2.30438, 2.82289, 3.22851
-3.29941, -2.85399, -2.27026, -0.0156773, 0.0156773, 2.27026, 2.85399, 3.29941
-3.37098, -2.88805, -2.24042, -0.0233461, 0.0233461, 2.24042, 2.88805, 3.37098
-3.44314, -2.92489, -2.21506, -0.033306, 0.033306, 2.21506, 2.92489, 3.44314
-3.5158, -2.96433, -2.19437, -0.0458374, 0.0458374, 2.19437, 2.96433, 3.5158
-3.58887, -3.00617, -2.17848, -0.0611806, 0.0611806, 2.17848, 3.00617, 3.58887
-3.66228, -3.05023, -2.16747, -0.079525, 0.079525, 2.16747, 3.05023, 3.66228
-3.73597, -3.09634, -2.16137, -0.101003, 0.101003, 2.16137, 3.09634, 3.73597
-3.80986, -3.14432, -2.16014, -0.125687, 0.125687, 2.16014, 3.14432, 3.80986
-3.8839, -3.19401, -2.16369, -0.153587, 0.153587, 2.16369, 3.19401, 3.8839
-3.95804, -3.24525, -2.17187, -0.184661, 0.184661, 2.17187, 3.24525, 3.95804
-4.03221, -3.29789, -2.18449, -0.218813, 0.218813, 2.18449, 3.29789, 4.03221
-4.10637, -3.35179, -2.20133, -0.255909, 0.255909, 2.20133, 3.35179, 4.10637
-4.18048, -3.40682, -2.22212, -0.29578, 0.29578, 2.22212, 3.40682, 4.18048
-4.25448, -3.46286, -2.24661, -0.338237, 0.338237, 2.24661, 3.46286, 4.25448
-4.32834, -3.51978, -2.27451, -0.383076, 0.383076, 2.27451, 3.51978, 4.32834
-4.40202, -3.57747, -2.30554, -0.430085, 0.430085, 2.30554, 3.57747, 4.40202
-4.47547, -3.63584, -2.33942, -0.479052, 0.479052, 2.33942, 3.63584, 4.47547
-4.54866, -3.69478, -2.37588, -0.529769, 0.529769, 2.37588, 3.69478, 4.54866
-4.62156, -3.7542, -2.41467, -0.582036, 0.582036, 2.41467, 3.7542, 4.62156
-4.69413, -3.81402, -2.45555, -0.635662, 0.635662, 2.45555, 3.81402, 4.69413
-4.76634, -3.87416, -2.49828, -0.690466, 0.690466, 2.49828, 3.87416, 4.76634
