value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-6.98858, -6.98858, -5.89125, -5.89125, -4.30266, -4.30266, -2.7, -2.7, -2.7, -2.7, -2.7, -6.14017e-16, 1.63048e-15, 2.7, 2.7, 2.7, 2.7, 2.7, 4.30266, 4.30266, 5.89125, 5.89125, 6.98858, 6.98858
-7.00236, -6.97468, -5.90431, -5.87807, -4.31525, -4.28997, -2.7201, -2.7133, -2.70022, -2.68659, -2.68012, -3.24655e-08, 3.24655e-08, 2.68012, 2.68659, 2.70022, 2.7133, 2.7201, 4.28997, 4.31525, 5.87807, 5.90431, 6.97468, 7.00236
-7.01601, -6.96066, -5.91726, -5.86478, -4.32774, -4.27717, -2.74042, -2.72648, -2.70089, -2.67306, -2.66047, -5.19249e-07, 5.19249e-07, 2.66047, 2.67306, 2.70089, 2.72648, 2.74042, 4.27717, 4.32774, 5.86478, 5.91726, 6.96066, 7.01601
-7.02953, -6.94652, -5.9301, -5.85137, -4.34011, -4.26427, -2.76094, -2.73955, -2.702, -2.65941, -2.64106, -2.62702e-06, 2.62702e-06, 2.64106, 2.65941, 2.702, 2.73955, 2.76094, 4.26427, 4.34011, 5.85137, 5.9301, 6.94652, 7.02953
-7.04293, -6.93225, -5.94282, -5.83786, -4.35238, -4.25126, -2.78167, -2.75249, -2.70355, -2.64566, -2.62189, -8.29523e-06, 8.29523e-06, 2.62189, 2.64566, 2.70355, 2.75249, 2.78167, 4.25126, 4.35238, 5.83786, 5.94282, 6.93225, 7.04293
-7.0562, -6.91786, -5.95542, -5.82423, -4.36455, -4.23816, -2.80258, -2.76533, -2.70554, -2.63179, -2.60298, -2.02287e-05, 2.02287e-05, 2.60298, 2.63179, 2.70554, 2.76533, 2.80258, 4.23816, 4.36455, 5.82423, 5.95542, 6.91786, 7.0562
-7.06935, -6.90335, -5.96791, -5.81049, -4.3766, -4.22495, -2.82369, -2.77804, -2.70797, -2.61781, -2.58433, -4.18871e-05, 4.18871e-05, 2.58433, 2.61781, 2.70797, 2.77804, 2.82369, 4.22495, 4.3766, 5.81049, 5.96791, 6.90335, 7.06935
-7.08237, -6.88872, -5.98028, -5.79664, -4.38854, -4.21164, -2.84497, -2.79063, -2.71084, -2.60371, -2.56595, -7.74716e-05, 7.74716e-05, 2.56595, 2.60371, 2.71084, 2.79063, 2.84497, 4.21164, 4.38854, 5.79664, 5.98028, 6.88872, 7.08237
-7.09526, -6.87396, -5.99254, -5.78268, -4.40038, -4.19823, -2.86642, -2.80311, -2.71415, -2.58951, -2.54786, -0.000131909, 0.000131909, 2.54786, 2.58951, 2.71415, 2.80311, 2.86642, 4.19823, 4.40038, 5.78268, 5.99254, 6.87396, 7.09526
-7.10803, -6.85909, -6.00467, -5.76862, -4.4121, -4.18472, -2.88804, -2.81546, -2.71788, -2.57519, -2.53005, -0.00021083, 0.00021083, 2.53005, 2.57519, 2.71788, 2.81546, 2.88804, 4.18472, 4.4121, 5.76862, 6.00467, 6.85909, 7.10803
