value0, value1, value2, value3, value4, value5, value6, value7
-0.551677, -0.544122, -0.543842, 1.45928, 2.86072, 4.86384, 4.86412, 4.87168
-0.60691, -0.549874, -0.486986, 1.45981, 2.8602, 4.80698, 4.86987, 4.92691
-0.669532, -0.556028, -0.430597, 1.46139, 2.85862, 4.7506, 4.87603, 4.98953
-0.733874, -0.566209, -0.376719, 1.46402, 2.85599, 4.69672, 4.88621, 5.05387
-0.799712, -0.580342, -0.32565, 1.4677, 2.85231, 4.64565, 4.90034, 5.11971
-0.866871, -0.598312, -0.277676, 1.47243, 2.84758, 4.59767, 4.91831, 5.18687
-0.935198, -0.619982, -0.233083, 1.4782, 2.8418, 4.55308, 4.93998, 5.2552
-1.00455, -0.64519, -0.19216, 1.485, 2.835, 4.51216, 4.96519, 5.32455
-1.07481, -0.673762, -0.155188, 1.49281, 2.8272, 4.47519, 4.99376, 5.39481
-1.14586, -0.705509, -0.122434, 1.50155, 2.81845, 4.44243, 5.02551, 5.46586
-1.21759, -0.740238, -0.0941378, 1.51114, 2.80886, 4.41414, 5.06024, 5.53758
-1.2899, -0.777749, -0.0705027, 1.52145, 2.79856, 4.3905, 5.09775, 5.6099
-1.36271, -0.817845, -0.0516846, 1.53225, 2.78776, 4.37168, 5.13784, 5.68271
-1.43594, -0.860332, -0.0377838, 1.54325, 2.77675, 4.35778, 5.18033, 5.75593
-1.5095, -0.905019, -0.0288398, 1.55409, 2.76591, 4.34884, 5.22502, 5.8295
-1.58334, -0.951723, -0.0248289, 1.56429, 2.75572, 4.34483, 5.27172, 5.90333
-1.65738, -1.00027, -0.0256666, 1.57329, 2.74672, 4.34566, 5.32027, 5.97737
-1.73156, -1.05049, -0.0312129, 1.58046, 2.73954, 4.35121, 5.37049, 6.05156
-1.80583, -1.10222, -0.0412803, 1.58515, 2.73486, 4.36128, 5.42222, 6.12583
-1.88014, -1.15533, -0.0556435, 1.58667, 2.73333, 4.37564, 5.47533, 6.20014
-1.95443, -1.20965, -0.0740496, 1.58443, 2.73557, 4.39405, 5.52965, 6.27443
-2.02866, -1.26507, -0.0962284, 1.57791, 2.74209, 4.41623, 5.58507, 6.34866
-2.10278, -1.32146, -0.121901, 1.56676, 2.75324, 4.4419, 5.64146, 6.42278
-2.17676, -1.3787, -0.150786, 1.55078, 2.76922, 4.47078, 5.6987, 6.49676
-2.25054, -1.43668, -0.182608, 1.52997, 2.79003, 4.50261, 5.75668, 6.57054
-2.3241, -1.49531, -0.2171, 1.50447, 2.81553, 4.5371, 5.81531, 6.6441
-2.39739, -1.55448, -0.254007, 1.47457, 2.84543, 4.57401, 5.87448, 6.71739
-2.47039, -1.61411, -0.293086, 1.44063, 2.87938, 4.61309, 5.93411, 6.79039
-2.54305, -1.67411, -0.334111, 1.40303, 2.91697, 4.65411, 5.99411, 6.86305
-2.61535, -1.7344, -0.376871, 1.36222, 2.95779, 4.69687, 6.0544, 6.93535
-2.68725, -1.79492, -0.421167, 1.31858, 3.00142, 4.74117, 6.11492, 7.00725
