value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-5.00645, -4.81721, -3.7632, -3.44508, -2.19741, -2.184, -1.39791, -0.580937, -0.493703, -0.465814, 0.882974, 1.50843, 2.72056, 2.88033, 4.82472, 4.86067, 4.86249, 5.95365, 6.47327, 7.15504, 7.90874, 8.12855, 8.84006, 9.19221
-5.00712, -4.81644, -3.76362, -3.44455, -2.20452, -2.1768, -1.3984, -0.581166, -0.493721, -0.46541, 0.883113, 1.50833, 2.71935, 2.8816, 4.82264, 4.85529, 4.86999, 5.95358, 6.47339, 7.15481, 7.90875, 8.12858, 8.84004, 9.19226
-5.0091, -4.81414, -3.76487, -3.44299, -2.2157, -2.16534, -1.39988, -0.581851, -0.493777, -0.4642, 0.883528, 1.50803, 2.71586, 2.88529, 4.81689, 4.85153, 4.87964, 5.95337, 6.47376, 7.15411, 7.90879, 8.12865, 8.83998, 9.19241
-5.01231, -4.81042, -3.76693, -3.44041, -2.22729, -2.15327, -1.40234, -0.582994, -0.493868, -0.462196, 0.884219, 1.50753, 2.71036, 2.89112, 4.80869, 4.84957, 4.89003, 5.95302, 6.47437, 7.15296, 7.90885, 8.12877, 8.83989, 9.19267
-5.0166, -4.80541, -3.76976, -3.43686, -2.23893, -2.14097, -1.40576, -0.584593, -0.493988, -0.459415, 0.885183, 1.50683, 2.70322, 2.8987, 4.79917, 4.8486, 4.90084, 5.95254, 6.47521, 7.15136, 7.90892, 8.12895, 8.83975, 9.19302
-5.02184, -4.79925, -3.7733, -3.43238, -2.25054, -2.12852, -1.41011, -0.58665, -0.494135, -0.45588, 0.886418, 1.50593, 2.69482, 2.90767, 4.78898, 4.84815, 4.91189, 5.95191, 6.4763, 7.1493, 7.909, 8.12919, 8.83957, 9.19347
-5.02786, -4.7921, -3.77751, -3.42703, -2.26207, -2.11596, -1.41538, -0.589163, -0.494303, -0.451618, 0.88792, 1.50484, 2.68548, 2.91771, 4.77847, 4.84798, 4.92308, 5.95115, 6.47763, 7.14679, 7.90907, 8.1295, 8.83936, 9.19402
-5.03453, -4.78409, -3.78232, -3.42087, -2.27351, -2.1033, -1.42154, -0.592134, -0.494487, -0.446662, 0.889684, 1.50356, 2.67545, 2.92856, 4.76779, 4.84798, 4.93437, 5.95026, 6.47919, 7.14384, 7.90913, 8.12988, 8.8391, 9.19466
-5.04172, -4.77536, -3.78767, -3.41397, -2.28486, -2.09055, -1.42854, -0.595559, -0.494684, -0.441045, 0.891705, 1.50209, 2.66491, 2.94002, 4.75705, 4.84809, 4.94571, 5.94924, 6.48098, 7.14046, 7.90915, 8.13034, 8.83881, 9.19541
-5.04933, -4.766, -3.79349, -3.40638, -2.29611, -2.07773, -1.43636, -0.599439, -0.494889, -0.434806, 0.893978, 1.50043, 2.65403, 2.95194, 4.7463, 4.84828, 4.95708, 5.9481, 6.483, 7.13665, 7.90912, 8.1309, 8.83848, 9.19624
-5.05727, -4.75612, -3.79973, -3.39818, -2.30726, -2.06483, -1.44494, -0.60377, -0.495098, -0.427986, 0.896495, 1.4986, 2.64291, 2.9642, 4.73559, 4.84854, 4.96847, 5.94683, 6.48524, 7.13243, 7.90903, 8.13156, 8.83811, 9.19717
-5.06546, -4.74577, -3.80633, -3.3894, -2.31831, -2.05186, -1.45426, -0.608549, -0.495309, -0.420624, 0.899251, 1.49659, 2.63164, 2.9767, 4.72493, 4.84886, 4.97985, 5.94544, 6.48771, 7.1278, 7.90886, 8.13235, 8.8377, 9.1982
-5.07384, -4.73503, -3.81324, -3.38011, -2.32926, -2.03884, -1.46426, -0.613772, -0.495518, -0.412763, 0.902235, 1.49442, 2.62029, 2.98938, 4.71435, 4.84922, 4.99122, 5.94394, 6.4904, 7.12277, 7.90858, 8.13326, 8.83725, 9.19931
-5.08237, -4.72393, -3.82041, -3.37035, -2.34009, -2.02577, -1.47491, -0.619434, -0.495724, -0.404447, 0.905441, 1.49209, 2.6089, 3.00218, 4.70388, 4.84963, 5.00258, 5.94233, 6.4933, 7.11736, 7.90817, 8.13431, 8.83676, 9.20051
-5.091, -4.71253, -3.82781, -3.36015, -2.35082, -2.01265, -1.48614, -0.625529, -0.495924, -0.395719, 0.908859, 1.4896, 2.59752, 3.01504, 4.69351, 4.85009, 5.0139, 5.94061, 6.4964, 7.11157, 7.90763, 8.13552, 8.83624, 9.2018
-5.09971, -4.70085, -3.83539, -3.34957, -2.36144, -1.99951, -1.49793, -0.632052, -0.496118, -0.386621, 0.912481, 1.48697, 2.58618, 3.02793, 4.68329, 4.85059, 5.02519, 5.93878, 6.49971, 7.10541, 7.90692, 8.13689, 8.83567, 9.20317
-5.10846, -4.68892, -3.84313, -3.33863, -2.37194, -1.98635, -1.5102, -0.638993, -0.496304, -0.377194, 0.916295, 1.4842, 2.57491, 3.0408, 4.6732, 4.85112, 5.03645, 5.93686, 6.50322, 7.09891, 7.90603, 8.13844, 8.83507, 9.20462
-5.11724, -4.67677, -3.85099, -3.32736, -2.38234, -1.97319, -1.52293, -0.646346, -0.496481, -0.367482, 0.920291, 1.48131, 2.56372, 3.05364, 4.66328, 4.8517, 5.04765, 5.93485, 6.50692, 7.09206, 7.90494, 8.14017, 8.83443, 9.20615
-5.12602, -4.6644, -3.85895, -3.31578, -2.39262, -1.96006, -1.53604, -0.654103, -0.49665, -0.357523, 0.924459, 1.47831, 2.55264, 3.06639, 4.65353, 4.85232, 5.05881, 5.93275, 6.51081, 7.08489, 7.90364, 8.14209, 8.83375, 9.20776
-5.13479, -4.65185, -3.86698, -3.30393, -2.40279, -1.94698, -1.54948, -0.662253, -0.49681, -0.347356, 0.928788, 1.4752, 2.54168, 3.07905, 4.64398, 4.85297, 5.06991, 5.93057, 6.51489, 7.0774, 7.90212, 8.14421, 8.83304, 9.20944
-5.14354, -4.63911, -3.87508, -3.29181, -2.41285, -1.93399, -1.56319, -0.670789, -0.496962, -0.337021, 0.933266, 1.472, 2.53085, 3.09158, 4.63462, 4.85366, 5.08095, 5.9283, 6.51914, 7.06961, 7.90035, 8.14654, 8.83228, 9.21119
-5.15225, -4.62621, -3.88321, -3.27945, -2.42279, -1.92114, -1.57708, -0.679701, -0.497104, -0.326554, 0.937881, 1.46872, 2.52017, 3.10396, 4.62548, 4.85439, 5.09193, 5.92597, 6.52356, 7.06153, 7.89833, 8.14907, 8.83149, 9.21301
-5.16092, -4.61315, -3.89136, -3.26687, -2.43262, -1.90849, -1.59107, -0.68898, -0.497238, -0.31599, 0.942621, 1.46538, 2.50963, 3.11617, 4.61657, 4.85516, 5.10284, 5.92356, 6.52815, 7.05317, 7.89606, 8.15181, 8.83066, 9.2149
-5.16953, -4.59994, -3.89952, -3.25407, -2.44232, -1.89612, -1.60504, -0.698615, -0.497364, -0.305364, 0.947474, 1.46199, 2.49925, 3.12818, 4.60791, 4.85597, 5.11367, 5.9211, 6.5329, 7.04454, 7.89352, 8.15475, 8.8298, 9.21685
-5.17809, -4.58659, -3.90768, -3.24108, -2.45191, -1.88417, -1.61885, -0.708597, -0.497483, -0.29471, 0.952427, 1.45857, 2.48903, 3.13997, 4.5995, 4.85681, 5.12444, 5.91857, 6.5378, 7.03566, 7.89071, 8.15791, 8.8289, 9.21885
-5.18658, -4.5731, -3.91582, -3.22789, -2.46139, -1.87281, -1.63229, -0.718917, -0.497594, -0.284059, 0.957468, 1.45514, 2.47899, 3.15153, 4.59137, 4.85769, 5.13512, 5.91599, 6.54285, 7.02654, 7.88763, 8.16126, 8.82796, 9.22092
-5.19501, -4.55949, -3.92395, -3.21453, -2.47074, -1.86229, -1.6451, -0.729564, -0.497698, -0.273443, 0.962582, 1.4517, 2.46911, 3.16283, 4.58354, 4.85861, 5.14573, 5.91336, 6.54804, 7.01719, 7.88428, 8.16481, 8.82699, 9.22304
-5.20335, -4.54575, -3.93203, -3.20101, -2.47997, -1.85295, -1.6569, -0.740529, -0.497796, -0.262893, 0.967758, 1.44829, 2.4594, 3.17384, 4.576, 4.85957, 5.15624, 5.91069, 6.55337, 7.00763, 7.88066, 8.16855, 8.82598, 9.22521
-5.21162, -4.53189, -3.94008, -3.18732, -2.48908, -1.8453, -1.6672, -0.751803, -0.497888, -0.252436, 0.972981, 1.44492, 2.44987, 3.18456, 4.56879, 4.86057, 5.16667, 5.90797, 6.55883, 6.99786, 7.87677, 8.17247, 8.82493, 9.22743
-5.21981, -4.51791, -3.94808, -3.17348, -2.49807, -1.83994, -1.67535, -0.763376, -0.497975, -0.242103, 0.978239, 1.44161, 2.44051, 3.19496, 4.56191, 4.8616, 5.17701, 5.90522, 6.56441, 6.98791, 7.87262, 8.17656, 8.82385, 9.22969
-5.22791, -4.50383, -3.95603, -3.1595, -2.50694, -1.83755, -1.68066, -0.775239, -0.498056, -0.231921, 0.983517, 1.43838, 2.43133, 3.20503, 4.55537, 4.86268, 5.18725, 5.90244, 6.5701, 6.97777, 7.86821, 8.18082, 8.82273, 9.23199
-5.23592, -4.48963, -3.96392, -3.14538, -2.51568, -1.83865, -1.68261, -0.787383, -0.498133, -0.221917, 0.988802, 1.43525, 2.42233, 3.21473, 4.54921, 4.86379, 5.1974, 5.89963, 6.57591, 6.96748, 7.86355, 8.18523, 8.82158, 9.23434
-5.24384, -4.47533, -3.97174, -3.13113, -2.5243, -1.84337, -1.68103, -0.799799, -0.498205, -0.212116, 0.99408, 1.43225, 2.4135, 3.22407, 4.54342, 4.86494, 5.20744, 5.8968, 6.58181, 6.95703, 7.85863, 8.18979, 8.82039, 9.23672
-5.25167, -4.46093, -3.97949, -3.11675, -2.53279, -1.8514, -1.67625, -0.812478, -0.498272, -0.202546, 0.999339, 1.4294, 2.40484, 3.23301, 4.53802, 4.86613, 5.21738, 5.89394, 6.5878, 6.94645, 7.85348, 8.19449, 8.81917, 9.23913
-5.2594, -4.44643, -3.98717, -3.10225, -2.54116, -1.86215, -1.66882, -0.825411, -0.498336, -0.19323, 1.00456, 1.42672, 2.39635, 3.24154, 4.53303, 4.86737, 5.22722, 5.89107, 6.59386, 6.93575, 7.84809, 8.1993, 8.81792, 9.24157
-5.26704, -4.43183, -3.99478, -3.08764, -2.54939, -1.87499, -1.65937, -0.83859, -0.498397, -0.184193, 1.00974, 1.42424, 2.38803, 3.24965, 4.52845, 4.86864, 5.23695, 5.88819, 6.6, 6.92495, 7.84247, 8.20424, 8.81663, 9.24403
-5.27458, -4.41714, -4.0023, -3.07291, -2.5575, -1.88939, -1.64843, -0.852008, -0.498454, -0.175459, 1.01486, 1.42197, 2.37988, 3.25732, 4.5243, 4.86996, 5.24656, 5.8853, 6.60619, 6.91407, 7.83664, 8.20928, 8.81531, 9.24652
-5.28201, -4.40236, -4.00974, -3.05809, -2.56547, -1.90495, -1.63637, -0.865655, -0.498509, -0.16705, 1.01991, 1.41995, 2.37188, 3.26453, 4.52059, 4.87131, 5.25606, 5.88241, 6.61241, 6.90314, 7.83059, 8.21442, 8.81395, 9.24903
-5.28935, -4.38749, -4.01709, -3.04316, -2.57331, -1.92138, -1.62348, -0.879525, -0.49856, -0.15899, 1.02487, 1.41819, 2.36405, 3.27128, 4.51733, 4.87272, 5.26545, 5.87951, 6.61865, 6.89216, 7.82434, 8.21964, 8.81257, 9.25156
-5.29658, -4.37253, -4.02435, -3.02814, -2.58101, -1.93848, -1.60996, -0.893609, -0.498609, -0.151299, 1.02974, 1.41672, 2.35637, 3.27756, 4.51452, 4.87416, 5.27471, 5.87662, 6.62489, 6.88118, 7.81788, 8.22494, 8.81115, 9.25411
-5.30371, -4.35749, -4.03151, -3.01303, -2.58857, -1.95609, -1.59594, -0.907901, -0.498656, -0.144, 1.03451, 1.41556, 2.34884, 3.28335, 4.51218, 4.87565, 5.28385, 5.87373, 6.63108, 6.87023, 7.81124, 8.23031, 8.8097, 9.25666
-5.31073, -4.34237, -4.03859, -2.99784, -2.59598, -1.97411, -1.58153, -0.922393, -0.498701, -0.137111, 1.03916, 1.41473, 2.34145, 3.28865, 4.5103, 4.87719, 5.29287, 5.87085, 6.6372, 6.85936, 7.80441, 8.23574, 8.80822, 9.25922
-5.31765, -4.32717, -4.04556, -2.98258, -2.60325, -1.99246, -1.5668, -0.937078, -0.498743, -0.130653, 1.0437, 1.41424, 2.33421, 3.29344, 4.5089, 4.87877, 5.30176, 5.86798, 6.64319, 6.84862, 7.79741, 8.24122, 8.80671, 9.2618
-5.32445, -4.31189, -4.05243, -2.96724, -2.61037, -2.01109, -1.5518, -0.951949, -0.498784, -0.124644, 1.04811, 1.41412, 2.3271, 3.29773, 4.50797, 4.8804, 5.31053, 5.86512, 6.64898, 6.83808, 7.79024, 8.24674, 8.80517, 9.26437
-5.33115, -4.29655, -4.05919, -2.95185, -2.61732, -2.02993, -1.53658, -0.967, -0.498824, -0.119101, 1.05238, 1.41438, 2.32012, 3.30152, 4.5075, 4.88208, 5.31916, 5.86228, 6.65449, 6.82784, 7.7829, 8.25231, 8.8036, 9.26695
-5.33775, -4.28113, -4.06585, -2.9364, -2.62411, -2.04896, -1.52115, -0.982224, -0.498862, -0.114042, 1.05653, 1.41503, 2.31327, 3.30479, 4.50751, 4.88381, 5.32765, 5.85946, 6.65959, 6.81803, 7.7754, 8.2579, 8.802, 9.26952
-5.34423, -4.26566, -4.0724, -2.92092, -2.63073, -2.06815, -1.50556, -0.997616, -0.498898, -0.109481, 1.06054, 1.41609, 2.30654, 3.30756, 4.50798, 4.88559, 5.33601, 5.85666, 6.66411, 6.80882, 7.76775, 8.26352, 8.80038, 9.27209
-5.3506, -4.25012, -4.07883, -2.90542, -2.63715, -2.08746, -1.48981, -1.01317, -0.498934, -0.105433, 1.06441, 1.41755, 2.29992, 3.30982, 4.50892, 4.88743, 5.34424, 5.85389, 6.66783, 6.80043, 7.75996, 8.26915, 8.79872, 9.27465
-5.35686, -4.23453, -4.08514, -2.88992, -2.64336, -2.10688, -1.47393, -1.02888, -0.498968, -0.101911, 1.06815, 1.41943, 2.29341, 3.31159, 4.5103, 4.88932, 5.35232, 5.85114, 6.67049, 6.79315, 7.75203, 8.27479, 8.79704, 9.27721
-5.36301, -4.2189, -4.09132, -2.87444, -2.64934, -2.12639, -1.45792, -1.04473, -0.499002, -0.0989271, 1.07177, 1.42173, 2.28701, 3.31287, 4.51212, 4.89127, 5.36025, 5.84843, 6.67175, 6.7873, 7.74397, 8.28044, 8.79534, 9.27975
-5.36904, -4.20325, -4.09735, -2.85902, -2.65506, -2.14598, -1.44181, -1.06073, -0.499035, -0.0964911, 1.07526, 1.42445, 2.2807, 3.31366, 4.51436, 4.89327, 5.36805, 5.84575, 6.67132, 6.78319, 7.73577, 8.28609, 8.79361, 9.28228
-5.37497, -4.18761, -4.1032, -2.84371, -2.66045, -2.16563, -1.42558, -1.07687, -0.499067, -0.0946121, 1.07864, 1.42758, 2.27448, 3.31398, 4.51703, 4.89534, 5.37569, 5.8431, 6.669, 6.78103, 7.72746, 8.29173, 8.79185, 9.2848
-5.38078, -4.17205, -4.1088, -2.82859, -2.66546, -2.18532, -1.40926, -1.09314, -0.499099, -0.0932977, 1.08191, 1.43112, 2.26835, 3.31384, 4.52008, 4.89747, 5.38319, 5.84049, 6.66477, 6.78083, 7.71902, 8.29736, 8.79007, 9.28729
-5.38647, -4.1568, -4.11393, -2.81377, -2.66997, -2.20505, -1.39286, -1.10954, -0.499131, -0.0925538, 1.08509, 1.43507, 2.2623, 3.31326, 4.52352, 4.89967, 5.39053, 5.83791, 6.6588, 6.78244, 7.71048, 8.30297, 8.78827, 9.28977
-5.39206, -4.14273, -4.1177, -2.79942, -2.67381, -2.22481, -1.37637, -1.12605, -0.499162, -0.0923848, 1.08817, 1.43941, 2.25633, 3.31224, 4.52732, 4.90193, 5.39773, 5.83538, 6.65137, 6.78557, 7.70183, 8.30857, 8.78645, 9.29222
-5.39752, -4.13448, -4.1155, -2.78581, -2.67671, -2.24457, -1.35981, -1.14269, -0.499194, -0.0927935, 1.09118, 1.44413, 2.25042, 3.31082, 4.53145, 4.90426, 5.40476, 5.83289, 6.6428, 6.78992, 7.69307, 8.31413, 8.7846, 9.29465
-5.40288, -4.13573, -4.10364, -2.77337, -2.67826, -2.26435, -1.34318, -1.15943, -0.499225, -0.0937811, 1.09411, 1.44923, 2.24458, 3.30899, 4.53591, 4.90666, 5.41164, 5.83045, 6.63336, 6.79522, 7.68422, 8.31967, 8.78274, 9.29705
-5.40811, -4.13992, -4.08868, -2.76269, -2.67785, -2.28411, -1.32649, -1.17627, -0.499256, -0.0953473, 1.09699, 1.45468, 2.23879, 3.3068, 4.54065, 4.90914, 5.41836, 5.82805, 6.62328, 6.80126, 7.67527, 8.32517, 8.78086, 9.29943
-5.41323, -4.14468, -4.07299, -2.7545, -2.67478, -2.30385, -1.30975, -1.1932, -0.499288, -0.0974903, 1.09982, 1.46047, 2.23306, 3.30424, 4.54567, 4.91169, 5.42492, 5.82571, 6.61272, 6.80786, 7.66624, 8.33064, 8.77896, 9.30177
