value0, value1, value2, value3
-2.7, 0, 2.7, -2.7
-2.7, 0, 2.7, -2.7
-2.70532, 9.92532e-20, 2.70532, -2.70532
-2.70532, 9.92532e-20, 2.70532, -2.70532
-2.72121, 1.11022e-16, 2.72121, -2.72121
-2.72121, 1.11022e-16, 2.72121, -2.72121
-2.74741, -4.77512e-18, 2.74741, -2.74741
-2.74741, -4.77512e-18, 2.74741, -2.74741
-2.78353, -1.38309e-18, 2.78353, -2.78353
-2.78353, -1.38309e-18, 2.78353, -2.78353
-2.82906, -1.11022e-16, 2.82906, -2.82906
-2.82906, -1.11022e-16, 2.82906, -2.82906
-2.88338, 7.46277e-17, 2.88338, -2.88338
-2.88338, 7.46277e-17, 2.88338, -2.88338
-2.94578, 2.01238e-17, 2.94578, -2.94578
-2.94578, 2.01238e-17, 2.94578, -2.94578
-3.01553, 4.16334e-16, 3.01553, -3.01553
-3.01553, 4.16334e-16, 3.01553, -3.01553
-3.09188, 9.29812e-16, 3.09188, -3.09188
-3.09188, 9.29812e-16, 3.09188, -3.09188
-3.17404, -2.13275e-16, 3.17404, -3.17404
-3.17404, -2.13275e-16, 3.17404, -3.17404
-3.26128, -3.30204e-16, 3.26128, -3.26128
-3.26128, -3.30204e-16, 3.26128, -3.26128
-3.35286, 5.06539e-16, 3.35286, -3.35286
-3.35286, 5.06539e-16, 3.35286, -3.35286
-3.44809, 4.64039e-17, 3.44809, -3.44809
-3.44809, 4.64039e-17, 3.44809, -3.44809
-3.54632, 6.245e-16, 3.54632, -3.54632
-3.54632, 6.245e-16, 3.54632, -3.54632
-3.64693, 8.32667e-17, 3.64693, -3.64693
-3.64693, 8.32667e-17, 3.64693, -3.64693
-3.74935, 1.70003e-16, 3.74935, -3.74935
-3.74935, 1.70003e-16, 3.74935, -3.74935
-3.85305, 3.67761e-16, 3.85305, -3.85305
-3.85305, 3.67761e-16, 3.85305, -3.85305
-3.95754, -4.51028e-16, 3.95754, -3.95754
-3.95754, -4.51028e-16, 3.95754, -3.95754
-4.06236, -5.6552e-16, 4.06236, -4.06236
-4.06236, -5.6552e-16, 4.06236, -4.06236
-4.16708, -1.83881e-16, 4.16708, -4.16708
-4.16708, -1.83881e-16, 4.16708, -4.16708
-4.27131, 5.91541e-16, 4.27131, -4.27131
-4.27131, 5.91541e-16, 4.27131, -4.27131
-4.3747, -4.51028e-16, 4.3747, -4.3747
-4.3747, -4.51028e-16, 4.3747, -4.3747
-4.4769, 1.73472e-16, 4.4769, -4.4769
-4.4769, 1.73472e-16, 4.4769, -4.4769
-4.57761, 1.28731e-16, 4.57761, -4.57761
-4.57761, 1.28731e-16, 4.57761, -4.57761
-4.67654, -1.24206e-15, 4.67654, -4.67654
-4.67654, -1.24206e-15, 4.67654, -4.67654
-4.77341, -1.63758e-15, 4.77341, -4.77341
-4.77341, -1.63758e-15, 4.77341, -4.77341
-4.86799, -4.71845e-16, 4.86799, -4.86799
-4.86799, -4.71845e-16, 4.86799, -4.86799
-4.96004, -8.18789e-16, 4.96004, -4.96004
-4.96004, -8.18789e-16, 4.96004, -4.96004
-5.04935, -6.10623e-16, 5.04935, -5.04935
-5.04935, -6.10623e-16, 5.04935, -5.04935
-5.13571, 2.498e-16, 5.13571, -5.13571
-5.13571, 2.498e-16, 5.13571, -5.13571
-5.21893, -5.82867e-16, 5.21893, -5.21893
-5.21893, -5.82867e-16, 5.21893, -5.21893
-5.29885, -6.38378e-16, 5.29885, -5.29885
-5.29885, -6.38378e-16, 5.29885, -5.29885
-5.37531, 1.249e-16, 5.37531, -5.37531
-5.37531, 1.249e-16, 5.37531, -5.37531
-5.44815, -2.11312e-16, 5.44815, -5.44815
-5.44815, -2.11312e-16, 5.44815, -5.44815
-5.51724, -1.1241e-15, 5.51724, -5.51724
-5.51724, -1.1241e-15, 5.51724, -5.51724
-5.58244, 4.71845e-16, 5.58244, -5.58244
-5.58244, 4.71845e-16, 5.58244, -5.58244
-5.64364, 2.17881e-15, 5.64364, -5.64364
-5.64364, 2.17881e-15, 5.64364, -5.64364
-5.70073, -7.21645e-16, 5.70073, -5.70073
-5.70073, -7.21645e-16, 5.70073, -5.70073
-5.75361, -8.04912e-16, 5.75361, -5.75361
