size,multiplicity,u,stone_wales,magnetization,energy
2,1,0.2,0,0.000109746,-60.2473
4,1,0.2,0,2.27665,-179.461
2,1,0.2,1,3.92895e-05,-59.5477
4,1,0.2,1,2.13089,-178.493
2,1,0.4,0,1.0103e-14,-55.3873
4,1,0.4,0,2.85429,-166.228
2,1,0.4,1,0.00012986,-54.6706
4,1,0.4,1,2.63176,-165.23
2,1,0.6,0,1.60405,-50.7216
4,1,0.6,0,3.68197,-153.086
2,1,0.6,1,0.000358887,-49.7958
4,1,0.6,1,3.28658,-152.036
2,1,0.8,0,2.18101,-46.1686
4,1,0.8,0,4.53153,-140.053
2,1,0.8,1,1.35447e-14,-44.9229
4,1,0.8,1,4.11108,-138.947
2,1,1,0,2.54976,-41.6533
4,1,1,0,5.3068,-127.114
2,1,1,1,1.54862,-40.2963
4,1,1,1,4.923,-125.968
2,1,1.2,0,2.90097,-37.1866
4,1,1.2,0,6.12203,-114.282
2,1,1.2,1,2.20383,-35.779
4,1,1.2,1,5.72233,-113.096
2,1,1.4,0,3.31198,-32.7899
4,1,1.4,0,7.10348,-101.602
2,1,1.4,1,2.70478,-31.324
4,1,1.4,1,6.60827,-100.358
2,1,1.6,0,3.85699,-28.5128
4,1,1.6,0,8.38081,-89.1684
2,1,1.6,1,3.22183,-26.9612
4,1,1.6,1,7.70682,-87.8211
2,1,1.8,0,4.59623,-24.4496
4,1,1.8,0,10.059,-77.1435
2,1,1.8,1,3.85969,-22.7599
4,1,1.8,1,9.17211,-75.6256
2,1,2,0,5.52016,-20.7233
4,1,2,0,12.1858,-65.7678
2,1,2,1,4.68243,-18.8475
4,1,2,1,11.1495,-64.0298
2,1,0.85,0,2.28114,-45.0359
4,1,0.85,0,4.72891,-136.81
2,1,0.85,1,0.372695,-43.7165
4,1,0.85,1,4.31879,-135.693
2,1,0.9,0,2.37439,-43.9057
4,1,0.9,0,4.92242,-133.572
2,1,0.9,1,0.983307,-42.5741
4,1,0.9,1,4.52305,-132.445
2,1,0.95,0,2.46323,-42.7781
4,1,0.95,0,5.11428,-130.34
2,1,0.95,1,1.30843,-41.4339
4,1,0.95,1,4.72436,-129.203
2,1,0.45,0,1.14908e-14,-54.1723
4,1,0.45,0,3.04029,-162.932
2,1,0.45,1,0.00015635,-53.4517
4,1,0.45,1,2.7733,-161.923
2,1,0.5,0,1.05471e-14,-52.9573
4,1,0.5,0,3.24395,-159.643
2,1,0.5,1,0.000211567,-52.2329
4,1,0.5,1,2.92921,-158.622
2,1,0.55,0,1.34767,-51.865
4,1,0.55,0,3.45998,-156.361
2,1,0.55,1,0.000263653,-51.0143
4,1,0.55,1,3.10065,-155.326
2,1,0.15,0,4.7606e-05,-61.4623
4,1,0.15,0,2.14111,-182.778
2,1,0.15,1,1.05766e-05,-60.7674
4,1,0.15,1,1.95515,-181.816
2,1,0.1,0,3.33593e-05,-62.6773
4,1,0.1,0,1.9397,-186.097
2,1,0.1,1,7.16035e-06,-61.9873
4,1,0.1,1,1.57232,-185.141
2,1,0.05,0,1.34998e-05,-63.8923
4,1,0.05,0,1.03557,-189.418
2,1,0.05,1,4.14972e-06,-63.2074
4,1,0.05,1,0.000381666,-188.486
2,1,0.0037037,0,3.24143e-07,-65.0173
4,1,0.0037037,0,6.93258e-06,-192.536
2,1,0.0037037,1,2.40224e-07,-64.3373
4,1,0.0037037,1,1.02533e-06,-191.614
2,1,0.075,0,7.90729e-06,-63.2848
4,1,0.075,0,1.72534,-187.757
2,1,0.075,1,7.63904e-06,-62.5973
4,1,0.075,1,4.21885e-14,-186.797
2,1,0.525,0,1.17435,-52.4376
4,1,0.525,0,3.35081,-158.001
2,1,0.525,1,0.000238783,-51.6236
4,1,0.525,1,3.01305,-156.973
2,1,0.52037,0,2.51466e-14,-52.4623
4,1,0.52037,0,3.33075,-158.305
2,1,0.52037,1,0.000256681,-51.7364
4,1,0.52037,1,2.99726,-157.278
2,1,0.025,0,1.39333e-14,-64.4998
4,1,0.025,0,0.000157439,-191.099
2,1,0.025,1,1.78315e-06,-63.8175
4,1,0.025,1,6.08586e-05,-190.175
2,1,0.0875,0,2.18073e-05,-62.9811
4,1,0.0875,0,1.85291,-186.927
2,1,0.0875,1,3.18854e-06,-62.2923
4,1,0.0875,1,1.353,-185.973
